champ1,champ2,winrate,n_games
Malphite,Kha'Zix,0.522248244,1281
Karthus,Graves,0.6228482,1278
Udyr,Kindred,0.5074626870000001,1273
Amumu,Maokai,0.579071597,1271
Warwick,Hecarim,0.43026004700000003,1269
Nunu,Zed,0.447347585,1263
Nunu,Jinx,0.520222046,1261
Kayn,Zac,0.50675139,1259
Warwick,Nocturne,0.444709626,1257
Jax,Zac,0.518695306,1257
Tryndamere,Rengar,0.494820717,1255
Teemo,Warwick,0.46810207299999995,1254
Nunu,Ezreal,0.47326416600000004,1253
Twitch,Kayn,0.49560351700000005,1251
Riven,Kayn,0.508,1250
Tryndamere,Kayn,0.497197758,1249
Master Yi,Lux,0.524497992,1245
Jarvan IV,Kindred,0.510040161,1245
Amumu,Pantheon,0.536663981,1241
Malphite,Kindred,0.5149555379999999,1237
Evelynn,Shaco,0.441390461,1237
Amumu,Aatrox,0.543249798,1237
Irelia,Lee Sin,0.438511327,1236
Wukong,Akali,0.405996759,1234
Dr. Mundo,Wukong,0.563665856,1233
Fiddlesticks,Jarvan IV,0.503649635,1233
Malphite,Pyke,0.469055375,1228
Dr. Mundo,Kha'Zix,0.513866232,1226
Olaf,Graves,0.499183007,1224
Rammus,Kayn,0.48611111100000004,1224
Master Yi,Zed,0.44108019600000004,1222
Kha'Zix,Yasuo,0.501642036,1218
Jarvan IV,Gragas,0.520197857,1213
Fiddlesticks,Kindred,0.49629019,1213
Kayle,Nunu,0.568125516,1211
Warwick,Gragas,0.497516556,1208
Karthus,Lee Sin,0.580431177,1206
Cho'Gath,Pyke,0.50872818,1203
Cho'Gath,Dr. Mundo,0.555370525,1201
Amumu,Shyvana,0.5478767689999999,1201
Shaco,Pyke,0.423813489,1201
Udyr,Kha'Zix,0.48166666700000005,1200
Akali,Pyke,0.336675021,1197
Volibear,Rengar,0.513377926,1196
Xin Zhao,Pyke,0.44100418399999997,1195
Tryndamere,Amumu,0.576214405,1194
Akali,Kha'Zix,0.39279732,1194
Wukong,Garen,0.507550336,1192
Amumu,Brand,0.64231738,1191
Malphite,Jarvan IV,0.54079058,1189
Warwick,Cho'Gath,0.484440706,1189
Rammus,Rengar,0.49957877,1187
Galio,Graves,0.553571429,1176
Pantheon,Kayn,0.47234042600000004,1175
Wukong,Hecarim,0.489778535,1174
Xin Zhao,Gragas,0.51369863,1168
Teemo,Kha'Zix,0.45119863,1168
Nunu,Skarner,0.471698113,1166
Trundle,Kayn,0.491845494,1165
Master Yi,Nasus,0.44368013799999995,1163
Maokai,Wukong,0.540447504,1162
Warwick,Garen,0.479345955,1162
Volibear,Kayn,0.522413793,1160
Warwick,Dr. Mundo,0.5211389129999999,1159
Xin Zhao,Yasuo,0.490924806,1157
Hecarim,Kha'Zix,0.469264069,1155
Skarner,Graves,0.530735931,1155
Garen,Kha'Zix,0.5004329000000001,1155
Nunu,Lux,0.496097138,1153
Garen,Kindred,0.477430556,1152
Shaco,Kindred,0.454387489,1151
Warwick,Yasuo,0.46649260200000003,1149
Galio,Nunu,0.5,1148
Poppy,Kha'Zix,0.504355401,1148
Sion,Rengar,0.550130776,1147
Maokai,Kha'Zix,0.529257642,1145
Jax,Darius,0.512708151,1141
Brand,Kayn,0.586327783,1141
Yasuo,Kindred,0.500877193,1140
Sion,Kayn,0.544815466,1138
Dr. Mundo,Pyke,0.514964789,1136
Olaf,Lee Sin,0.482819383,1135
Vi,Pyke,0.44876325100000003,1132
Hecarim,Kindred,0.443462898,1132
Akali,Yasuo,0.409372237,1131
Fiddlesticks,Pyke,0.44897959200000004,1127
Gragas,Vi,0.48756660700000004,1126
Elise,Lee Sin,0.49467140299999995,1126
Lee Sin,Fizz,0.47868561299999995,1126
Xin Zhao,Evelynn,0.406945681,1123
Amumu,Nidalee,0.528049866,1123
Akali,Kindred,0.37857142899999996,1120
Jax,Sejuani,0.48614834700000004,1119
Master Yi,Blitzcrank,0.480286738,1116
Warwick,Akali,0.40484739700000005,1114
Sion,Jax,0.590664273,1114
Kindred,Aatrox,0.520288548,1109
Teemo,Garen,0.487364621,1108
Kai'Sa,Pyke,0.49141824799999995,1107
