"","champ1","champ2","winrate","n_games"
"2698","Akali","Rammus",0.396616541,532
"34901","Akali","Rek'Sai",0.408839779,181
"4846","Akali","Renekton",0.413427562,283
"2601","Akali","Rengar",0.394366197,1775
"9181","Akali","Riven",0.415300546,732
"6710","Akali","Rumble",0.4375,192
"9728","Akali","Ryze",0.435185185,108
"18601","Akali","Sejuani",0.383597884,378
"1576","Akali","Shaco",0.346341463,820
"23161","Akali","Shen",0.361204013,299
"12061","Akali","Shyvana",0.37860781,589
"5612","Akali","Singed",0.438016529,242
"2580","Akali","Sion",0.458633094,556
"12768","Akali","Sivir",0.412698413,63
"3682","Akali","Skarner",0.393700787,381
"9568","Akali","Sona",0.321428571,112
"10810","Akali","Soraka",0.388888889,90
"10180","Akali","Swain",0.39,100
"68101","Akali","Syndra",0.320754717,53
"35801","Akali","Tahm Kench",0.344827586,174
"2055","Akali","Taliyah",0.423529412,340
"1831","Akali","Talon",0.396866841,383
"8538","Akali","Taric",0.417910448,134
"2028","Akali","Teemo",0.342182891,678
"2671","Akali","Thresh",0.384313725,255
"7970","Akali","Tristana",0.364864865,148
"2856","Akali","Trundle",0.354709419,499
"2530","Akali","Tryndamere",0.425795053,566
"10846","Akali","Twisted Fate",0.426966292,89
"2666","Akali","Twitch",0.388475836,538
"1474","Akali","Udyr",0.421728972,856
"5528","Akali","Urgot",0.386178862,246
"5039","Akali","Varus",0.37254902,102
"4924","Akali","Vayne",0.421428571,280
"6910","Akali","Veigar",0.382513661,183
"6279","Akali","Vel'Koz",0.323076923,65
"699","Akali","Vi",0.382187148,887
"74501","Akali","Viktor",0.463414634,41
"12296","Akali","Vladimir",0.391304348,69
"13441","Akali","Volibear",0.446529081,533
"1018","Akali","Warwick",0.404847397,1114
"876","Akali","Wukong",0.405996759,1234
"48661","Akali","Xayah",0.425925926,108
"70361","Akali","Xerath",0.333333333,48
"1236","Akali","Xin Zhao",0.392894462,957
"499","Akali","Yasuo",0.409372237,1131
"10098","Akali","Yorick",0.421568627,102
